NS 100
ROOT 1891
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 8324
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 4807
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 5235
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 5980
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 2980
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 9323
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 7336
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 5243
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 2801
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 5254
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 8231
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 2871
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 1991
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 5131
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 2002
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 7223
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 3021
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 1921
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 3889
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 7130
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 5909
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 6019
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 5104
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 2020
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 6092
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 3132
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 5039
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 3871
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 4120
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 7232
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 3114
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 3142
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 6362
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 9345
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 6224
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 6224
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 2928
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 2912
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 5010
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 6010
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 4234
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 1807
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 9354
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 7326
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 4887
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 8221
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 9332
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 3891
UHF +5,-2,+2,+2,
LHF +2,+5,+7,-4,
PHF -7,-4,+1,+2,
ROOT 2920
UHF +5,-2,+2,+2,
